fold,accuracy,precision,recall,f1_score,tp,tn,fp,fn
0,0.8183085501858736,0.8088360237892949,0.851520572450805,0.8296296296296296,952,809,225,166
1,0.8141552511415525,0.8382352941176471,0.8307692307692308,0.8344855632370883,1026,757,198,209
2,0.7982456140350878,0.8244561140285072,0.8294339622641509,0.8269375470278404,1099,721,234,226
3,0.8698924731182796,0.8817733990147784,0.9163822525597269,0.8987447698744769,1074,544,144,98
4,0.8056244830438379,0.8232286340394448,0.8317343173431734,0.8274596182085168,1127,821,242,228
