fold,accuracy,precision,recall,f1_score,tp,tn,fp,fn
0,0.4878048780487805,0.5,0.5396825396825397,0.5190839694656489,34,26,34,29
1,0.5772357723577236,0.5714285714285714,0.6451612903225806,0.606060606060606,40,31,30,22
2,0.5447154471544715,0.5866666666666667,0.6376811594202898,0.611111111111111,44,23,31,25
3,0.4634146341463415,0.47058823529411764,0.5161290322580645,0.4923076923076923,32,25,36,30
4,0.42276422764227645,0.4657534246575342,0.5151515151515151,0.48920863309352514,34,18,39,32
