fold,accuracy,precision,recall,f1_score,tp,tn,fp,fn
0,0.5161290322580645,0.5,0.6,0.5454545454545454,9,7,9,6
1,0.7096774193548387,0.7333333333333333,0.6875,0.7096774193548386,11,11,4,5
2,0.5806451612903226,0.3,0.3333333333333333,0.3157894736842105,3,15,7,6
3,0.2903225806451613,0.3333333333333333,0.375,0.35294117647058826,6,3,12,10
4,0.5161290322580645,0.38461538461538464,0.4166666666666667,0.4,5,11,8,7
